ric,data_load,capitalization,current_price,ticker
AR.N,2026-03-24,13.130824,42.56,AR.N
ARCAY.PK,2026-03-24,2.762549,42.0,ARCAY.PK
ARCB.O,2026-03-24,2.051883,92.03,ARCB.O
ARCC.O,2026-03-24,13.125458,18.28,ARCC.O
ARCO.K,2026-03-24,1.689518,8.02,ARCO.K
ARCO.N,2026-03-24,1.689518,8.02,ARCO.N
ARDT.K,2026-03-24,1.234676,8.64,ARDT.K
ARDT.N,2026-03-24,1.234676,8.64,ARDT.N
ARDX.O,2026-03-24,1.302264,5.31,ARDX.O
ARE.N,2026-03-24,8.344412,48.15,ARE.N
ARES.K,2026-03-24,35.29311,107.12,ARES.K
ARES.N,2026-03-24,35.29311,107.12,ARES.N
ARGTF.PK,2026-03-24,5.726966,24.63,ARGTF.PK
ARGX.O,2026-03-24,42.114797,681.85,ARGX.O
ARHS.O,2026-03-24,0.965277,6.84,ARHS.O
ARI.N,2026-03-24,1.450433,10.39,ARI.N
ARKAY.PK,2026-03-24,4.659749,61.54,ARKAY.PK
ARLO.K,2026-03-24,1.570775,14.7,ARLO.K
ARLO.N,2026-03-24,1.570775,14.7,ARLO.N
ARLP.O,2026-03-24,3.596013,27.95,ARLP.O
ARLUF.PK,2026-03-24,19.390755,33.9,ARLUF.PK
ARM.O,2026-03-24,145.37718,136.89,ARM.O
ARMK.K,2026-03-24,10.589662,40.29,ARMK.K
ARMK.N,2026-03-24,10.589662,40.29,ARMK.N
ARMN.K,2026-03-24,3.386209,16.77,ARMN.K
ARNNY.PK,2026-03-24,14.018327,33.82,ARNNY.PK
AROC.K,2026-03-24,6.449119,36.8,AROC.K
AROC.N,2026-03-24,6.449119,36.8,AROC.N
ARQT.O,2026-03-24,2.764704,22.29,ARQT.O
ARR.N,2026-03-24,1.945864,15.85,ARR.N
ARR_pc.N,2026-03-24,1.945864,20.26,ARR_pc.N
ARRPY.PK,2026-03-24,11.87344,12.44,ARRPY.PK
ARRY.O,2026-03-24,1.031731,6.75,ARRY.O
ARW.N,2026-03-24,7.146954,139.9,ARW.N
ARWR.O,2026-03-24,7.935624,56.67,ARWR.O
ARX.N,2026-03-24,2.843648,12.8,ARX.N
ARXCY.PK,2026-03-24,12.071597,21.0,ARXCY.PK
ARZGY.PK,2026-03-24,59.782285,19.42,ARZGY.PK
ARZTY.PK,2026-03-24,1.867915,7.48,ARZTY.PK
AS.N,2026-03-24,19.016365,32.71,AS.N
ASA.N,2026-03-24,1.088762,57.95,ASA.N
ASAIY.PK,2026-03-24,2.074358,7.54,ASAIY.PK
ASAN.K,2026-03-24,1.573762,6.61,ASAN.K
ASAN.N,2026-03-24,1.573762,6.61,ASAN.N
ASAZY.PK,2026-03-24,37.101938,17.64,ASAZY.PK
ASB.N,2026-03-24,4.093659,24.76,ASB.N
ASBA.N,2026-03-24,4.093659,24.71,ASBA.N
ASBFY.PK,2026-03-24,16.849286,24.16,ASBFY.PK
ASBHY.PK,2026-03-24,15.01521,10.6,ASBHY.PK
ASCCY.PK,2026-03-24,20.027541,27.61,ASCCY.PK
ASEKY.PK,2026-03-24,10.767571,14.06,ASEKY.PK
ASGLY.PK,2026-03-24,7.545641,6.94,ASGLY.PK
ASGN.K,2026-03-24,1.573117,38.09,ASGN.K
ASGN.N,2026-03-24,1.573117,38.09,ASGN.N
ASGSY.PK,2026-03-24,1.108371,0.0,ASGSY.PK
ASH.N,2026-03-24,2.284459,49.92,ASH.N
ASHGY.PK,2026-03-24,29.729143,72.75,ASHGY.PK
ASKRY.PK,2026-03-24,2.577513,0.0,ASKRY.PK
ASLTY.PK,2026-03-24,4.891839,5.0,ASLTY.PK
ASM.N,2026-03-24,0.965376,5.77,ASM.N
ASMIY.PK,2026-03-24,38.067964,784.45,ASMIY.PK
ASML.O,2026-03-24,527.85928,1369.62,ASML.O
ASMLF.PK,2026-03-24,527.85928,1395.61,ASMLF.PK
ASMVY.PK,2026-03-24,5.563479,40.44,ASMVY.PK
ASND.O,2026-03-24,13.514794,218.06,ASND.O
ASO.O,2026-03-24,3.390433,52.66,ASO.O
ASOZY.PK,2026-03-24,3.732978,46.28,ASOZY.PK
ASR.N,2026-03-24,8.835623,319.76,ASR.N
ASTE.O,2026-03-24,1.204201,52.54,ASTE.O
ASTH.O,2026-03-24,1.1779,23.81,ASTH.O
ASTS.O,2026-03-24,33.777786,88.42,ASTS.O
ASUTZ.PK,2026-03-24,13.171575,2.74,ASUTZ.PK
ASX.N,2026-03-24,46.409008,21.68,ASX.N
ASXFY.PK,2026-03-24,6.800603,34.66,ASXFY.PK
ATAI.O,2026-03-24,1.236489,3.39,ATAI.O
ATAT.O,2026-03-24,4.966403,35.94,ATAT.O
ATDRY.PK,2026-03-24,5.074487,1.58,ATDRY.PK
ATEAY.PK,2026-03-24,1.614721,7.2,ATEAY.PK
ATEC.O,2026-03-24,1.838983,12.15,ATEC.O
ATEN.K,2026-03-24,1.608051,22.42,ATEN.K
ATEN.N,2026-03-24,1.608051,22.42,ATEN.N
ATEYY.PK,2026-03-24,103.241432,150.96,ATEYY.PK
ATGSY.PK,2026-03-24,10.7723,0.0,ATGSY.PK
ATHM.K,2026-03-24,2.262991,17.93,ATHM.K
ATHM.N,2026-03-24,2.262991,17.93,ATHM.N
ATHNY.PK,2026-03-24,3.882284,0.0,ATHNY.PK
ATHOF.PK,2026-03-24,3.336732,6.96,ATHOF.PK
ATHS.N,2026-03-24,4.801656,23.99,ATHS.N
ATI.N,2026-03-24,20.044735,146.38,ATI.N
ATKR.K,2026-03-24,1.961587,58.12,ATKR.K
ATKR.N,2026-03-24,1.961587,58.12,ATKR.N
ATLCY.PK,2026-03-24,82.173978,15.5,ATLCY.PK
ATLKY.PK,2026-03-24,82.173978,17.46,ATLKY.PK
ATMU.K,2026-03-24,4.732389,58.06,ATMU.K
ATMU.N,2026-03-24,4.732389,58.06,ATMU.N
ATO.N,2026-03-24,29.949412,181.03,ATO.N
ATOGY.PK,2026-03-24,4.167031,5.37,ATOGY.PK
ATR.N,2026-03-24,7.9921,124.14,ATR.N
ATRC.O,2026-03-24,1.483339,29.78,ATRC.O
ATRO.O,2026-03-24,2.352751,66.03,ATRO.O
ATROB.PK,2026-03-24,2.352751,65.0,ATROB.PK
ATS.N,2026-03-24,2.990518,30.46,ATS.N
ATUSF.PK,2026-03-24,1.751288,31.24,ATUSF.PK
ATVDY.PK,2026-03-24,1.235354,5.38,ATVDY.PK
ATWNY.PK,2026-03-24,4.0836,0.0,ATWNY.PK
ATZAF.PK,2026-03-24,9.483169,81.98,ATZAF.PK
AU.N,2026-03-24,43.229267,85.6,AU.N
AUB.N,2026-03-24,4.944548,34.69,AUB.N
AUGO.O,2026-03-24,5.466498,65.44,AUGO.O
AUKNY.PK,2026-03-24,7.873195,24.44,AUKNY.PK
AUOTY.PK,2026-03-24,3.47023,4.68,AUOTY.PK
AUPH.O,2026-03-24,1.936057,14.56,AUPH.O
